channel_title,category_id,views,likes,dislikes,comment_total,date,,,,,,,,,,
CBS Sunday Morning,25,358661,3498,24056,6420,13.09,,,,,,,,,,
WolfAliceVEVO,10,101248,4679,93,331,13.09,,,,,,,,,,
HBO,1,498183,6300,112,789,13.09,,,,,,,,,,
Casually Explained,23,1462030,74679,1502,3881,13.09,,,,,,,,,,
#Mind Warehouse,27,4774911,32276,12757,4103,13.09,,,,,,,,,,
Safiya Nygaard,22,2433292,123805,1069,9275,13.09,,,,,,,,,,
SciShow,27,295156,10918,149,781,13.09,,,,,,,,,,
ScreenPrism,1,165849,3391,297,374,13.09,,,,,,,,,,
Michelle Khare,24,322896,8516,470,663,13.09,,,,,,,,,,
AlishaMarie,26,1617247,83419,1014,7114,13.09,,,,,,,,,,
Ingrid Nilsen,26,185928,6156,129,320,13.09,,,,,,,,,,
Ultra Music,10,265833,3995,197,256,13.09,,,,,,,,,,
Inside Edition,25,28038,845,41,344,13.09,,,,,,,,,,
CBS Miami,25,91229,270,62,211,13.09,,,,,,,,,,
E! Entertainment,24,188162,1990,266,192,13.09,,,,,,,,,,
doddlevloggle,24,157437,19869,78,2027,13.09,,,,,,,,,,
TODAY,25,329459,1158,188,439,13.09,,,,,,,,,,
James Charles,24,1153128,45408,4311,5708,13.09,,,,,,,,,,
MSNBC,25,1769252,8048,2123,3359,13.09,,,,,,,,,,
Lofty Pursuits,26,381229,11618,452,1663,13.09,,,,,,,,,,
NewsFunnies,25,260164,2405,121,259,13.09,,,,,,,,,,
ViralHog,22,1275489,2678,494,895,13.09,,,,,,,,,,
Funny Local News,25,9025,53,1,16,13.09,,,,,,,,,,
Refinery29,26,13892,327,29,86,13.09,,,,,,,,,,
Rudimental,10,216040,9301,140,349,13.09,,,,,,,,,,
Matthias,28,2036428,41039,2671,15607,13.09,,,,,,,,,,
ABC News,25,50155,251,27,146,13.09,,,,,,,,,,
Jared's Garage,2,659749,3964,712,278,13.09,,,,,,,,,,
LaurDIY,26,1007014,57545,570,3333,13.09,,,,,,,,,,
Freestyle Digital Media,1,7410,48,2,0,13.09,,,,,,,,,,
Jane Smith,22,158816,206,67,153,13.09,,,,,,,,,,
Kevin Novobilsky,23,2330211,4893,938,381,13.09,,,,,,,,,,
Cal Bears,17,1002,8,0,3,13.09,,,,,,,,,,
Strictly Dumpling,19,622951,13260,493,1751,13.09,,,,,,,,,,
NBTVEVO,10,92783,6491,54,339,13.09,,,,,,,,,,
UrAvgConsumer,28,352284,13099,508,1297,13.09,,,,,,,,,,
Kevin The Tech Ninja,28,8692,340,16,36,13.09,,,,,,,,,,
Jeremy Jahns,24,788310,17141,1054,5521,13.09,,,,,,,,,,
ESPN,17,113400,1049,20,297,13.09,,,,,,,,,,
BBC Earth,15,163404,3337,111,447,13.09,,,,,,,,,,
Tasty,26,352119,12880,195,517,13.09,,,,,,,,,,
US Open Tennis Championships,17,119124,742,48,404,13.09,,,,,,,,,,
mayhugh1,2,7009,45,0,9,13.09,,,,,,,,,,
Synthetik Films,10,92656,895,22,143,13.09,,,,,,,,,,
Futbol La Pasion,17,53712,203,4,25,13.09,,,,,,,,,,
JeffHK,19,763632,51890,194,4852,13.09,,,,,,,,,,
jeffreestar,26,5044462,183483,16582,19443,13.09,,,,,,,,,,
Kerry Wong,27,2874,104,0,15,13.09,,,,,,,,,,
CineFix,24,1307902,19734,984,3029,13.09,,,,,,,,,,
DarthLucifer08,24,19431,87,2,10,13.09,,,,,,,,,,
NurdRage,27,229636,7897,47,781,13.09,,,,,,,,,,
CBS This Morning,25,171000,454,85,290,13.09,,,,,,,,,,
Simply Nailogical,24,1812471,133824,5380,23176,13.09,,,,,,,,,,
Robert Jones,24,11830,200,3,22,13.09,,,,,,,,,,
Blake Shelton,10,1851893,24779,2844,2242,13.09,,,,,,,,,,
Caters Clips,25,4801,28,0,8,13.09,,,,,,,,,,
Cole Truax,22,55214,258,5,99,13.09,,,,,,,,,,
Kmart,24,116337,17,10,2,13.09,,,,,,,,,,
Austin Evans,28,387873,12099,458,1771,13.09,,,,,,,,,,
Shameless Maya,26,406327,20499,516,6361,13.09,,,,,,,,,,
Life Where I'm From,22,108653,3606,109,699,13.09,,,,,,,,,,
Brothers Green Eats,26,77640,2223,221,390,13.09,,,,,,,,,,
vlogbrothers,22,173773,9188,166,876,13.09,,,,,,,,,,
Ms Deb Deb,26,1106140,38670,1576,1470,13.09,,,,,,,,,,
One America Appeal,22,952945,17703,3207,0,13.09,,,,,,,,,,
How Ridiculous,17,277903,13343,212,6348,13.09,,,,,,,,,,
Peter Hollens,10,700036,49257,995,4863,13.09,,,,,,,,,,
Brave Wilderness,15,2384595,50009,1918,6584,13.09,,,,,,,,,,
OsbornTramain,22,1712,15,0,4,13.09,,,,,,,,,,
Texas A&M Athletics,17,13794,40,49,0,13.09,,,,,,,,,,
KaneBrownVEVO,10,834567,20322,876,862,13.09,,,,,,,,,,
Matthijs Vlot,1,443606,4231,68,246,13.09,,,,,,,,,,
The Late Show with Stephen Colbert,24,1493731,23472,3490,5872,13.09,,,,,,,,,,
SamSmithWorldVEVO,10,13728070,468636,6597,20989,13.09,,,,,,,,,,
