channel_title,category_id,views,likes,dislikes,comment_total,date,,,,,,,,,,
Glam&Gore,22,267037,22019,322,1466,24.09,,,,,,,,,,
DepecheModeVEVO,10,368759,16034,297,1112,24.09,,,,,,,,,,
WalkTheMoonVEVO,10,151720,9562,204,939,24.09,,,,,,,,,,
grav3yardgirl,26,274042,12596,209,1143,24.09,,,,,,,,,,
cutepolish,26,69042,5571,48,387,24.09,,,,,,,,,,
MSNBC,25,59447,529,463,1971,24.09,,,,,,,,,,
FBE,24,721928,29918,830,4231,24.09,,,,,,,,,,
Team Coco,23,575748,9730,340,808,24.09,,,,,,,,,,
JerryRigEverything,28,1270314,34969,1488,4929,24.09,,,,,,,,,,
TamarbraxtonVEVO,10,106005,4550,149,775,24.09,,,,,,,,,,
Safiya Nygaard,22,3061769,178523,2453,12187,24.09,,,,,,,,,,
KygoOfficialVEVO,10,633107,36177,343,1260,24.09,,,,,,,,,,
Simon's Cat,15,86083,4554,57,367,24.09,,,,,,,,,,
America's Got Talent,24,3879712,38298,1987,2845,24.09,,,,,,,,,,
2CELLOS,10,157779,12909,92,623,24.09,,,,,,,,,,
Wendy Williams,24,458446,5727,624,2457,24.09,,,,,,,,,,
Mike Boyd,24,280417,13595,105,1677,24.09,,,,,,,,,,
20th Century Fox,1,1986475,8638,814,1124,24.09,,,,,,,,,,
TheMaineOfficialVEVO,10,35355,3470,33,656,24.09,,,,,,,,,,
CBS New York,25,883792,2349,399,1639,24.09,,,,,,,,,,
CarlosVivesVEVO,10,554258,13876,422,819,24.09,,,,,,,,,,
Vsauce3,27,1022192,59125,1105,5925,24.09,,,,,,,,,,
GwenStefaniVEVO,10,107816,3850,180,684,24.09,,,,,,,,,,
Greg and Mitch,27,227379,8548,5322,4306,24.09,,,,,,,,,,
Meet Arnold,22,3374610,79924,5106,11530,24.09,,,,,,,,,,
schmoyoho,24,62523,4251,190,324,24.09,,,,,,,,,,
WATSKY!,24,52301,4069,29,400,24.09,,,,,,,,,,
Jenny Nicholson,1,52064,3410,59,1103,24.09,,,,,,,,,,
colinfurze,2,2012313,80787,1504,5290,24.09,,,,,,,,,,
Rclbeauty101,24,1857916,62947,1027,3539,24.09,,,,,,,,,,
Walmart,27,33813,48,83,0,24.09,,,,,,,,,,
Simone Giertz,28,149411,8236,368,716,24.09,,,,,,,,,,
ScreenPrism,1,11876,855,18,70,24.09,,,,,,,,,,
WatchMojo.com,24,1122217,22211,731,1946,24.09,,,,,,,,,,
Life Noggin,27,797369,20279,929,6363,24.09,,,,,,,,,,
MinuteEarth,28,259905,10215,267,1182,24.09,,,,,,,,,,
JeremyCampVEVO,10,28595,2003,5,147,24.09,,,,,,,,,,
Cracked,23,194392,5900,132,626,24.09,,,,,,,,,,
Chris Goossens,19,160114,66,16,106,24.09,,,,,,,,,,
NiallHoranVEVO,10,3297302,390556,1321,34030,24.09,,,,,,,,,,
MaggieRogersVEVO,10,48242,2943,50,268,24.09,,,,,,,,,,
The Herd with Colin Cowherd,17,89629,695,101,426,24.09,,,,,,,,,,
Peter Hollens,10,67665,4646,94,675,24.09,,,,,,,,,,
The School of Life,27,144319,5996,122,454,24.09,,,,,,,,,,
BBC News,25,324923,2467,430,1742,24.09,,,,,,,,,,
CollegeHumor,23,1587642,37110,7411,7761,24.09,,,,,,,,,,
Screen Junkies,1,138446,3580,365,1567,24.09,,,,,,,,,,
MasterClass,27,49755,608,1,80,24.09,,,,,,,,,,
Vogue,24,265530,12195,167,1112,24.09,,,,,,,,,,
pixiwoo,26,145895,7497,213,684,24.09,,,,,,,,,,
Warner Bros. Pictures,24,9064131,66763,17928,18715,24.09,,,,,,,,,,
Anna Akana,23,235486,17657,277,1155,24.09,,,,,,,,,,
dejloafVEVO,10,35622,2386,41,201,24.09,,,,,,,,,,
Wil Dasovich,22,343717,13221,131,2256,24.09,,,,,,,,,,
Laura in the Kitchen,26,80628,3478,73,328,24.09,,,,,,,,,,
Half as Interesting,27,148880,7576,168,966,24.09,,,,,,,,,,
Marques Brownlee,28,1563942,53217,1351,7304,24.09,,,,,,,,,,
Shandong Iraeta,28,81490,70,26,20,24.09,,,,,,,,,,
Anwar Jibawi,23,1638763,89268,1448,4861,24.09,,,,,,,,,,
The Rock,24,1017251,21923,2009,2365,24.09,,,,,,,,,,
Taylor Swift,10,1684560,48861,1584,2665,24.09,,,,,,,,,,
The Scran Line,26,26475,1639,17,111,24.09,,,,,,,,,,
Joshua De Laurentiis,22,440042,8152,625,710,24.09,,,,,,,,,,
Tina Yong,26,143311,10139,76,3707,24.09,,,,,,,,,,
The New York Times,24,6441,104,17,26,24.09,,,,,,,,,,
How To Cake It,26,236689,10695,141,1554,24.09,,,,,,,,,,
Hollyn,10,32158,1799,22,186,24.09,,,,,,,,,,
Chris Reinacher,22,101383,8299,266,606,24.09,,,,,,,,,,
HellthyJunkFood,24,348754,10737,210,1544,24.09,,,,,,,,,,
Yelle,10,43735,1426,17,135,24.09,,,,,,,,,,
The Oregonian,25,1228689,5088,2158,2166,24.09,,,,,,,,,,
MyHarto,26,220331,14607,1313,2250,24.09,,,,,,,,,,
DJSnakeVEVO,10,466678,27401,664,1611,24.09,,,,,,,,,,
Grace Helbig,22,229628,11585,305,730,24.09,,,,,,,,,,
Jhené Aiko,10,220589,0,0,866,24.09,,,,,,,,,,
Guardian Wires,25,40980,95,214,459,24.09,,,,,,,,,,
Reach Records,10,101750,4123,71,708,24.09,,,,,,,,,,
TODAY,25,1368158,10577,1456,1323,24.09,,,,,,,,,,
Refinery29,26,44192,741,105,96,24.09,,,,,,,,,,
NURK FPV,28,660885,7843,344,1173,24.09,,,,,,,,,,
Trailers Promos Teasers,24,16084,65,73,36,24.09,,,,,,,,,,
Niks Ļeoņenko,23,141666,1790,94,254,24.09,,,,,,,,,,
Arden Rose,1,74789,5402,183,303,24.09,,,,,,,,,,
Christen Dominique,26,371299,22918,341,1565,24.09,,,,,,,,,,
Manny Mua,26,517166,41006,718,5245,24.09,,,,,,,,,,
EverythingApplePro,24,2033556,48630,2082,7203,24.09,,,,,,,,,,
The Gabbie Show,26,1163772,133573,1801,12711,24.09,,,,,,,,,,
Stop Bad Bicyclists In Wisconsin,22,2401,2,37,20,24.09,,,,,,,,,,
Eli Lieb,10,11929,1344,8,143,24.09,,,,,,,,,,
Fleur DeForce,26,108090,4214,86,297,24.09,,,,,,,,,,
Daisy Marquez,22,271694,18899,490,1710,24.09,,,,,,,,,,
Kurt Hugo Schneider,24,338457,21393,167,880,24.09,,,,,,,,,,
Mental Floss,27,57756,1876,33,325,24.09,,,,,,,,,,
The Gabbie Vlogs,22,311717,25131,186,2357,24.09,,,,,,,,,,
Lionsgate Movies,1,365898,3479,2159,693,24.09,,,,,,,,,,
CGTN America,25,502157,1040,164,0,24.09,,,,,,,,,,
CinemaSins,1,2490053,59551,2801,8937,24.09,,,,,,,,,,
R5VEVO,10,461617,29716,429,2684,24.09,,,,,,,,,,
LockheedMartinVideos,28,353011,349,71,166,24.09,,,,,,,,,,
The Telegraph,25,601248,1687,165,2,24.09,,,,,,,,,,
Burstow & Hewett,22,2886,3,0,0,24.09,,,,,,,,,,
The Verge,28,381082,6147,674,782,24.09,,,,,,,,,,
Los Angeles Times,25,434370,1256,159,1768,24.09,,,,,,,,,,
shane,22,2477194,187224,6438,20069,24.09,,,,,,,,,,
Amazon Studios,1,438912,187,11,17,24.09,,,,,,,,,,
fire3element,20,293143,3161,86,399,24.09,,,,,,,,,,
PBS NewsHour,25,60646,355,735,0,24.09,,,,,,,,,,
Sand Cat Sahara Team,15,179322,188,13,19,24.09,,,,,,,,,,
Jeremy Jahns,24,287517,10752,256,2418,24.09,,,,,,,,,,
Madeyewlook,26,237847,14441,135,199,24.09,,,,,,,,,,
From Head To Toe,26,24491,947,12,63,24.09,,,,,,,,,,
CGP Grey,27,845421,35165,811,2441,24.09,,,,,,,,,,
CNN,25,304142,1253,380,2304,24.09,,,,,,,,,,
NBC News,25,693507,2660,278,1828,24.09,,,,,,,,,,
NikkieTutorials,26,2862272,116096,3257,6889,24.09,,,,,,,,,,
SiaVEVO,10,3355834,163795,2942,10368,24.09,,,,,,,,,,
Björk,10,127756,8343,154,1051,24.09,,,,,,,,,,
Gab707,17,62292,1142,9,203,24.09,,,,,,,,,,
Rachel and Jun,22,346809,17090,513,1781,24.09,,,,,,,,,,
VLOGTOWSKI,22,219778,13958,91,1060,24.09,,,,,,,,,,
CBS Los Angeles,25,256828,1239,100,2346,24.09,,,,,,,,,,
Madelaine Petsch,22,391978,31410,142,1497,24.09,,,,,,,,,,
Tiësto,10,138815,8453,207,338,24.09,,,,,,,,,,
Dolan Twins,23,1718796,228754,1545,14973,24.09,,,,,,,,,,
CrashCourse,27,64925,2310,50,266,24.09,,,,,,,,,,
thebrainscoop,27,27175,2005,11,185,24.09,,,,,,,,,,
Merrell Twins Live,22,43836,2788,22,322,24.09,,,,,,,,,,
NotimexTV,25,75601,214,7,18,24.09,,,,,,,,,,
ExplosmEntertainment,23,803680,37698,4593,2442,24.09,,,,,,,,,,
CBS News,25,28143,121,22,55,24.09,,,,,,,,,,
Jonathan Morrison,28,1363776,51439,1666,6150,24.09,,,,,,,,,,
Gigi Gorgeous,26,217336,6399,442,566,24.09,,,,,,,,,,
Tested,28,204054,4932,57,420,24.09,,,,,,,,,,
МИР УДИВЛЯЕТ v2.0,22,6261,47,1,3,24.09,,,,,,,,,,
E! Entertainment,24,1343382,14609,672,969,24.09,,,,,,,,,,
Super Deluxe,24,64601,2734,50,359,24.09,,,,,,,,,,
ESPN,17,847620,7068,874,3991,24.09,,,,,,,,,,
Manto kay SO Afsanay,22,18788,25,14,25,24.09,,,,,,,,,,
Brad Hall,26,49074,1606,47,201,24.09,,,,,,,,,,
KungsVEVO,10,297657,9760,282,338,24.09,,,,,,,,,,
ZEDDVEVO,10,2745752,166751,1909,5102,24.09,,,,,,,,,,
Cardi B,22,820895,19063,1895,2093,24.09,,,,,,,,,,
Coca-Cola,17,16625,251,32,20,24.09,,,,,,,,,,
Ingrid Nilsen,26,129066,4920,216,293,24.09xcaeyJTx4Co,"$139 Plane Seat Vs. $24,000 Plane Seat",BuzzFeedBlue,22,Worth It|BuzzFeed Worth It|BuzzFeed Steven|BuzzFeed Adam|BuzzFeed Andrew|Steven Lim|Adam Bianchi|Cameraguy|andrew ilnyckyi|Food|Travel|Ben coleman|Cheap vs. expensive|Lifestyle|BuzzFeed|BuzzFeedvideo|Experience|airplane|plane seats|first class|business class|flying coach|flying|air travel|cheap vs expensive|upgrade|upgrade seat|$ vs $$$|cheap|expensive|review|high vs low|worth it lifestyle|luxury,3018291,78474,3470,8045,https://i.ytimg.com/vi/xcaeyJTx4Co/default.jpg,25.09
20th Century Fox,1,501864,15406,313,2583,25.09,,,,,,,,,,
Chris Cohoon,22,923481,15401,1049,3961,25.09,,,,,,,,,,
Rudy Mancuso,23,1781313,134375,2327,8288,25.09,,,,,,,,,,
Star Trek,24,168086,1783,850,841,25.09,,,,,,,,,,
CNN,25,199374,3014,6333,7779,25.09,,,,,,,,,,
BuzzFeedVideo,22,3871330,104252,7845,11791,25.09,,,,,,,,,,
DALLMYD,17,1577887,49906,1679,4855,25.09,,,,,,,,,,
ScreenPrism,1,96897,3768,49,298,25.09,,,,,,,,,,
Courageous Conservatives PAC,25,42463,228,990,416,25.09,,,,,,,,,,
Matthias,23,1322786,30063,1335,13582,25.09,,,,,,,,,,
Unbox Therapy,28,2372731,128365,25210,23978,25.09,,,,,,,,,,
Steve Kovach,22,270797,1931,1075,616,25.09,,,,,,,,,,
RealLifeLore,27,2341640,66255,3820,20909,25.09,,,,,,,,,,
Rob Czar,24,515036,26876,1150,3098,25.09,,,,,,,,,,
Primitive Technology,22,14068244,328200,7753,34273,25.09,,,,,,,,,,
TechRax,24,1233395,19468,3751,4469,25.09,,,,,,,,,,
TMZ,24,1852386,10449,9873,10376,25.09,,,,,,,,,,
Storyful News,25,25656,421,22,169,25.09,,,,,,,,,,
Pop Blast,10,146848,1640,184,282,25.09,,,,,,,,,,
TheAmazingTen,22,675960,25319,269,1607,25.09,,,,,,,,,,
ABC News,25,50276,631,824,1700,25.09,,,,,,,,,,
Kitchen Nightmares,24,499011,8934,214,1372,25.09,,,,,,,,,,
Amber Scholl,26,659693,29438,1287,3971,25.09,,,,,,,,,,
The Dodo,15,330150,12533,150,1051,25.09,,,,,,,,,,
jacksfilms,23,1517347,74528,1621,60491,25.09,,,,,,,,,,
WWE,17,475458,13373,773,3451,25.09,,,,,,,,,,
Screen Junkies,1,68521,2595,298,727,25.09,,,,,,,,,,
The Tonight Show Starring Jimmy Fallon,23,407157,6142,348,468,25.09,,,,,,,,,,
The Infographics Show,27,265997,7757,922,3658,25.09,,,,,,,,,,
Simply Nailogical,24,1216956,82876,1009,25401,25.09,,,,,,,,,,
The Key of Awesome,23,108622,4293,308,557,25.09,,,,,,,,,,
Ed Sheeran,10,6233442,391408,3472,19706,25.09,,,,,,,,,,
Good Mythical MORE,23,405479,9135,398,718,25.09,,,,,,,,,,
Food Wishes,26,270239,8757,249,1154,25.09,,,,,,,,,,
Bhad Bhabie,10,8266750,306401,105782,57706,25.09,,,,,,,,,,
The Late Show with Stephen Colbert,24,961498,12412,1198,1566,25.09,,,,,,,,,,
Jimmy Kimmel Live,23,1319571,26132,4423,3679,25.09,,,,,,,,,,
CartoonHangover,1,109458,3588,128,314,25.09,,,,,,,,,,
iJustine,22,657858,19817,1528,2348,25.09,,,,,,,,,,
Netflix,24,1031421,11934,499,1047,25.09,,,,,,,,,,
Bravo,24,208772,2345,186,1037,25.09,,,,,,,,,,
jeffreestar,26,1742601,65181,4319,8589,25.09,,,,,,,,,,
Rosanna Pansino,26,422660,21296,292,5242,25.09,,,,,,,,,,
CBS News,25,8618,93,24,174,25.09,,,,,,,,,,
Brave Wilderness,15,3271004,68165,1496,19055,25.09,,,,,,,,,,
Flossy Carter,28,113111,4381,204,1814,25.09,,,,,,,,,,
Boldly,22,1300463,38496,718,2023,25.09,,,,,,,,,,
Rclbeauty101,24,563477,23237,753,2557,25.09,,,,,,,,,,
FOX 11 Los Angeles,24,383692,1368,586,2451,25.09,,,,,,,,,,
UFC ON FOX,17,825709,4099,146,1256,25.09,,,,,,,,,,
Lele Pons,23,2378821,118275,5044,6336,25.09,,,,,,,,,,
MSNBC,25,52535,389,90,817,25.09,,,,,,,,,,
Nerdwriter1,24,722435,37791,952,2992,25.09,,,,,,,,,,
Cody'sLab,27,140717,5938,77,1319,25.09,,,,,,,,,,
TheEllenShow,24,5859980,186219,4330,4930,25.09,,,,,,,,,,
FergieVEVO,10,1050052,45397,1029,2795,25.09,,,,,,,,,,
FoxSearchlight,1,3905695,73524,4295,5687,25.09,,,,,,,,,,
Josef Prusa,28,36832,1125,15,232,25.09,,,,,,,,,,
Casey Holmes,26,281148,12284,491,1824,25.09,,,,,,,,,,
SumerianRecords,10,1191098,77441,2248,8781,25.09,,,,,,,,,,
Chloe Morello,26,272855,15349,386,902,25.09,,,,,,,,,,
Jason Derulo,10,1478187,52658,1243,2117,25.09,,,,,,,,,,
vlogbrothers,22,117927,4890,256,673,25.09,,,,,,,,,,
Watch What Happens Live with Andy Cohen,24,112768,332,180,183,25.09,,,,,,,,,,
The Film Theorists,1,1293582,53837,2266,9947,25.09,,,,,,,,,,
nono du rire nono,22,227664,762,167,93,25.09,,,,,,,,,,
Lauren Elizabeth,23,117429,6169,190,265,25.09,,,,,,,,,,
LecraeVEVO,10,132989,4237,107,532,25.09,,,,,,,,,,
NFL,17,1301264,13282,504,2613,25.09,,,,,,,,,,
2CELLOS,10,231221,16482,119,725,25.09,,,,,,,,,,
Macklemore LLC,10,3062496,133447,1585,5446,25.09,,,,,,,,,,
SciShow,27,245756,7457,130,731,25.09,,,,,,,,,,
WIRED,24,1540897,34962,728,3557,25.09,,,,,,,,,,
IISuperwomanII,23,3512949,202197,2269,23204,25.09,,,,,,,,,,
NoahCyrusVEVO,10,2615972,172668,5840,11871,25.09,,,,,,,,,,
United Nations,25,22705,225,19,9,25.09,,,,,,,,,,
GwenStefaniVEVO,10,129005,4162,197,533,25.09,,,,,,,,,,
ChrisMD,24,4083279,248341,2942,13150,25.09,,,,,,,,,,
DepecheModeVEVO,10,475968,18921,383,1290,25.09,,,,,,,,,,
Jesse,24,963126,63263,1796,5218,25.09,,,,,,,,,,
cutepolish,26,82858,6161,59,392,25.09,,,,,,,,,,
MeganBatoon,24,43071,2660,24,425,25.09,,,,,,,,,,
First We Feast,26,3735932,231187,2989,21472,25.09,,,,,,,,,,
Mike Boyd,24,312953,14593,113,1686,25.09,,,,,,,,,,
AnthonyPadilla,23,465317,36604,551,3036,25.09,,,,,,,,,,
Greg and Mitch,27,237555,8830,5617,3338,25.09,,,,,,,,,,
SUPERFRUIT,24,262855,25352,170,2355,25.09,,,,,,,,,,
KygoOfficialVEVO,10,841643,42041,402,1209,25.09,,,,,,,,,,
WalkTheMoonVEVO,10,210876,11498,285,1069,25.09,,,,,,,,,,
Simon's Cat,15,98524,4891,62,322,25.09,,,,,,,,,,
WATSKY!,24,58828,4322,31,414,25.09,,,,,,,,,,
grav3yardgirl,26,311866,13872,224,1224,25.09,,,,,,,,,,
Glam&Gore,22,291646,23512,347,1504,25.09,,,,,,,,,,
Andre Black Nerd,24,27168,2020,11,524,25.09,,,,,,,,,,
Vox,25,473374,14160,369,1269,25.09,,,,,,,,,,
FBE,24,793219,31707,880,4527,25.09,,,,,,,,,,
Kurzgesagt – In a Nutshell,27,3231750,132562,6307,18974,25.09,,,,,,,,,,
Team Coco,23,674208,10692,363,691,25.09,,,,,,,,,,
JerryRigEverything,28,1485573,36469,1647,4476,25.09,,,,,,,,,,
The Late Late Show with James Corden,24,4862619,94797,1929,7270,25.09,,,,,,,,,,
Walmart,27,40006,54,94,0,25.09,,,,,,,,,,
Safiya Nygaard,22,3266876,187430,2568,12758,25.09,,,,,,,,,,
Wendy Williams,24,493839,5988,647,1901,25.09,,,,,,,,,,
schmoyoho,24,72984,4666,209,314,25.09,,,,,,,,,,
Vsauce3,27,1109302,62173,1167,6161,25.09,,,,,,,,,,
TamarbraxtonVEVO,10,149218,5863,204,997,25.09,,,,,,,,,,
CarlosVivesVEVO,10,638777,14969,500,718,25.09,,,,,,,,,,
CBS New York,25,1083744,2893,449,1825,25.09,,,,,,,,,,
America's Got Talent,24,4078865,39612,2025,2977,25.09,,,,,,,,,,
JeremyCampVEVO,10,36901,2301,11,134,25.09,,,,,,,,,,
Jenny Nicholson,1,63511,3778,65,1194,25.09,,,,,,,,,,
Meet Arnold,22,3532827,82253,5309,11921,25.09,,,,,,,,,,
colinfurze,2,2163031,83127,1564,5402,25.09,,,,,,,,,,
Simone Giertz,28,159865,8605,377,759,25.09,,,,,,,,,,
NiallHoranVEVO,10,3877797,408770,1451,30827,25.09,,,,,,,,,,
MinuteEarth,28,326636,11859,325,1310,25.09,,,,,,,,,,
WatchMojo.com,24,1219738,23168,757,2087,25.09,,,,,,,,,,
MaggieRogersVEVO,10,67057,3424,75,248,25.09,,,,,,,,,,
Peter Hollens,10,78024,5124,103,703,25.09,,,,,,,,,,
Life Noggin,27,820083,20663,947,6500,25.09,,,,,,,,,,
Malhar Takle,22,15992,12,0,2,25.09,,,,,,,,,,
TheMaineOfficialVEVO,10,43708,3938,40,686,25.09,,,,,,,,,,
Cracked,23,202766,6078,135,636,25.09,,,,,,,,,,
BBC News,25,361374,2667,462,2055,25.09,,,,,,,,,,
dejloafVEVO,10,44696,2695,50,224,25.09,,,,,,,,,,
CollegeHumor,23,1645152,38043,7603,8014,25.09,,,,,,,,,,
NASA Langley Research Center,28,7038,104,2,15,25.09,,,,,,,,,,
Vogue,24,291603,13210,175,1069,25.09,,,,,,,,,,
The Herd with Colin Cowherd,17,93395,714,105,338,25.09,,,,,,,,,,
Anna Akana,23,252843,18748,282,861,25.09,,,,,,,,,,
Chris Goossens,19,167051,67,18,110,25.09,,,,,,,,,,
Wil Dasovich,22,377188,13773,140,1831,25.09,,,,,,,,,,
Hollyn,10,39841,1973,27,197,25.09,,,,,,,,,,
Anwar Jibawi,23,1911072,95877,1578,5050,25.09,,,,,,,,,,
Guardian Wires,25,42769,98,221,612,25.09,,,,,,,,,,
Marques Brownlee,28,1628885,54308,1390,7325,25.09,,,,,,,,,,
The Rock,24,1122955,22450,2065,2451,25.09,,,,,,,,,,
Taylor Swift,10,1736224,49799,1632,2682,25.09,,,,,,,,,,
Yelle,10,50194,1577,23,137,25.09,,,,,,,,,,
How To Cake It,26,246956,10946,146,1371,25.09,,,,,,,,,,
Bis Kack,22,1752,2,0,0,25.09,,,,,,,,,,
Joshua De Laurentiis,22,454934,8240,637,730,25.09,,,,,,,,,,
Laura in the Kitchen,26,87062,3686,76,203,25.09,,,,,,,,,,
The School of Life,27,153587,6234,128,420,25.09,,,,,,,,,,
MasterClass,27,68068,733,1,94,25.09,,,,,,,,,,
Half as Interesting,27,166509,8099,188,879,25.09,,,,,,,,,,
The New York Times,24,8681,128,18,34,25.09,,,,,,,,,,
MyHarto,26,226560,14929,1318,2301,25.09,,,,,,,,,,
Warner Bros. Pictures,24,9449472,69326,18618,19463,25.09,,,,,,,,,,
HellthyJunkFood,24,391928,11445,227,1661,25.09,,,,,,,,,,
Guinness World Records,24,44810,819,28,85,25.09,,,,,,,,,,
DJSnakeVEVO,10,633561,32290,779,1823,25.09,,,,,,,,,,
Reach Records,10,110004,4253,76,564,25.09,,,,,,,,,,
NURK FPV,28,819498,9761,402,1262,25.09,,,,,,,,,,
Kurt Hugo Schneider,24,380526,22623,178,704,25.09,,,,,,,,,,
Jhené Aiko,10,279284,0,0,1053,25.09,,,,,,,,,,
pixiwoo,26,177279,8229,242,753,25.09,,,,,,,,,,
TODAY,25,1460377,10873,1498,1340,25.09,,,,,,,,,,
IAmAnneMarie,10,139302,10593,107,653,25.09,,,,,,,,,,
ScreenJunkies News,24,32503,777,52,233,25.09,,,,,,,,,,
Super Deluxe,24,68918,2821,50,370,25.09,,,,,,,,,,
Tina Yong,26,154223,10602,87,3454,25.09,,,,,,,,,,
Niks Ļeoņenko,23,161606,1823,97,257,25.09,,,,,,,,,,
LockheedMartinVideos,28,424282,395,86,190,25.09,,,,,,,,,,
The Scran Line,26,30658,1796,17,88,25.09,,,,,,,,,,
Trailers Promos Teasers,24,16840,67,76,37,25.09,,,,,,,,,,
The Oregonian,25,1229604,5088,2162,2165,25.09,,,,,,,,,,
Chris Reinacher,22,106689,8641,273,580,25.09,,,,,,,,,,
Christen Dominique,26,402390,24193,356,1623,25.09,,,,,,,,,,
Manny Mua,26,549040,42601,750,5392,25.09,,,,,,,,,,
EverythingApplePro,24,2096485,49130,2115,7259,25.09,,,,,,,,,,
fire3element,20,309701,3253,88,411,25.09,,,,,,,,,,
The Gabbie Show,26,1256517,139752,1861,13105,25.09,,,,,,,,,,
Fleur DeForce,26,114145,4377,86,204,25.09,,,,,,,,,,
Shandong Iraeta,28,84839,76,26,23,25.09,,,,,,,,,,
Stop Bad Bicyclists In Wisconsin,22,2662,2,40,13,25.09,,,,,,,,,,
The Gabbie Vlogs,22,317765,25575,189,1851,25.09,,,,,,,,,,
Mental Floss,27,60830,1953,34,309,25.09,,,,,,,,,,
Daisy Marquez,22,288170,19563,501,1711,25.09,,,,,,,,,,
R5VEVO,10,594815,32429,470,2819,25.09,,,,,,,,,,
Grace Helbig,22,234077,11767,306,623,25.09,,,,,,,,,,
Sand Cat Sahara Team,15,220652,222,18,29,25.09,,,,,,,,,,
Lionsgate Movies,1,388066,3642,2198,727,25.09,,,,,,,,,,
Eli Lieb,10,14211,1486,10,149,25.09,,,,,,,,,,
Madeyewlook,26,243496,14689,136,190,25.09,,,,,,,,,,
CGTN America,25,502782,1040,164,0,25.09,,,,,,,,,,
PostmodernJukebox,10,223300,11196,255,396,25.09,,,,,,,,,,
Arden Rose,1,80074,5739,189,339,25.09,,,,,,,,,,
Refinery29,26,47629,774,107,99,25.09,,,,,,,,,,
CinemaSins,1,2582647,60633,2861,9222,25.09,,,,,,,,,,
Amazon Studios,1,568168,209,11,24,25.09,,,,,,,,,,
The Verge,28,397783,6295,697,843,25.09,,,,,,,,,,
FJOJR,22,209385,848,54,69,25.09,,,,,,,,,,
The Telegraph,25,601861,1688,165,0,25.09,,,,,,,,,,
Burstow & Hewett,22,3184,3,0,0,25.09,,,,,,,,,,
KungsVEVO,10,528699,11157,377,386,25.09,,,,,,,,,,
From Head To Toe,26,26300,993,12,63,25.09,,,,,,,,,,
Los Angeles Times,25,434503,1256,159,1768,25.09,,,,,,,,,,
Tiësto,10,172273,9401,219,346,25.09,,,,,,,,,,
BuzzFeedBlue,22,5172281,111667,6590,12403,26.09,,,,,,,,,,
20th Century Fox,1,3862213,48951,1617,7375,26.09,,,,,,,,,,
Chris Cohoon,22,2029422,32242,2590,7815,26.09,,,,,,,,,,
Rudy Mancuso,23,3100075,193892,4400,11079,26.09,,,,,,,,,,
Star Trek,24,316185,2874,1542,1420,26.09,,,,,,,,,,
CNN,25,422104,4999,12561,14679,26.09,,,,,,,,,,
BuzzFeedVideo,22,4482708,114655,8890,13390,26.09,,,,,,,,,,
DALLMYD,17,1841904,54056,2028,5475,26.09,,,,,,,,,,
Courageous Conservatives PAC,25,277062,1138,4171,1651,26.09,,,,,,,,,,
ScreenPrism,1,252819,6444,135,463,26.09,,,,,,,,,,
Matthias,23,1555373,32456,1843,14421,26.09,,,,,,,,,,
Unbox Therapy,28,2710123,139553,27949,20867,26.09,,,,,,,,,,
Steve Kovach,22,459085,2929,1560,838,26.09,,,,,,,,,,
RealLifeLore,27,3050281,77224,4680,23930,26.09,,,,,,,,,,
Rob Czar,24,671328,30472,1691,2983,26.09,,,,,,,,,,
Primitive Technology,22,14914935,340356,8235,35676,26.09,,,,,,,,,,
Storyful News,25,125474,1980,95,587,26.09,,,,,,,,,,
TechRax,24,1368325,20406,4285,4885,26.09,,,,,,,,,,
TMZ,24,2043382,11073,10889,8775,26.09,,,,,,,,,,
Pop Blast,10,266246,3409,350,715,26.09,,,,,,,,,,
ABC News,25,137843,1506,2199,4070,26.09,,,,,,,,,,
TheAmazingTen,22,843914,31570,346,1925,26.09,,,,,,,,,,
Kitchen Nightmares,24,581316,9708,253,1531,26.09,,,,,,,,,,
Amber Scholl,26,800565,33306,1749,3625,26.09,,,,,,,,,,
The Dodo,15,560218,17977,244,1240,26.09,,,,,,,,,,
jacksfilms,23,1595329,76458,1718,52400,26.09,,,,,,,,,,
WWE,17,510429,13880,837,3629,26.09,,,,,,,,,,
Screen Junkies,1,108075,3419,412,1026,26.09,,,,,,,,,,
The Key of Awesome,23,131501,4740,370,587,26.09,,,,,,,,,,
The Tonight Show Starring Jimmy Fallon,23,490774,6830,418,397,26.09,,,,,,,,,,
The Infographics Show,27,347321,9066,1248,4489,26.09,,,,,,,,,,
Simply Nailogical,24,1280483,85824,1105,21292,26.09,,,,,,,,,,
CBS News,25,40057,249,79,706,26.09,,,,,,,,,,
Ed Sheeran,10,7473152,420607,4047,17556,26.09,,,,,,,,,,
Bobby Walia,22,247220,4453,199,549,26.09,,,,,,,,,,
Bhad Bhabie,10,9671394,333625,121204,59217,26.09,,,,,,,,,,
Good Mythical MORE,23,464753,9745,433,794,26.09,,,,,,,,,,
Food Wishes,26,298967,9499,286,1105,26.09,,,,,,,,,,
Jimmy Kimmel Live,23,1390164,27173,4614,3692,26.09,,,,,,,,,,
iJustine,22,707087,20543,1653,1909,26.09,,,,,,,,,,
Netflix,24,1243364,13985,579,1193,26.09,,,,,,,,,,
The Late Show with Stephen Colbert,24,1026979,12948,1281,1477,26.09,,,,,,,,,,
Josef Prusa,28,55720,1380,36,266,26.09,,,,,,,,,,
